category,city,country_region,customer_id,customer_name,order_date,order_id,postal_code,product_id,product_name,region,row_id,segment,ship_date,ship_mode,ship_status,state,sub_category,days_to_ship_actual,days_to_ship_scheduled,discount,profit,quantity,sales,sales_forecast
Furniture,Henderson,United States,CG-12520,Claire Gute,2020-11-08,CA-2020-152156,42420,FUR-BO-10001798,Bush Somerset Collection Bookcase,South,1,Consumer,2020-11-11,Second Class,Shipped On Time,Kentucky,Bookcases,3,3,0,42,2,262,271
Furniture,Henderson,United States,CG-12520,Claire Gute,2020-11-08,CA-2020-152156,42420,FUR-CH-10000454,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",South,2,Consumer,2020-11-11,Second Class,Shipped On Time,Kentucky,Chairs,3,3,0,220,3,732,758
Office Supplies,Los Angeles,United States,DV-13045,Darrin Van Huff,2020-06-12,CA-2020-138688,90036,OFF-LA-10000240,Self-Adhesive Address Labels for Typewriters by Universal,West,3,Corporate,2020-06-16,Second Class,Shipped Late,California,Labels,4,3,0,7,2,15,15
Furniture,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,2019-10-11,US-2019-108966,33311,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,South,4,Consumer,2019-10-18,Standard Class,Shipped Late,Florida,Tables,7,6,0.45,-383,5,958,991
Office Supplies,Fort Lauderdale,United States,SO-20335,Sean O'Donnell,2019-10-11,US-2019-108966,33311,OFF-ST-10000760,Eldon Fold 'N Roll Cart System,South,5,Consumer,2019-10-18,Standard Class,Shipped Late,Florida,Storage,7,6,0.2,3,2,22,23
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,2018-06-09,CA-2018-115812,90032,FUR-FU-10001487,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",West,6,Consumer,2018-06-14,Standard Class,Shipped Early,California,Furnishings,5,6,0,14,7,49,51
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,2018-06-09,CA-2018-115812,90032,OFF-AR-10002833,Newell 322,West,7,Consumer,2018-06-14,Standard Class,Shipped Early,California,Art,5,6,0,2,4,7,8
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,2018-06-09,CA-2018-115812,90032,TEC-PH-10002275,Mitel 5320 IP Phone VoIP phone,West,8,Consumer,2018-06-14,Standard Class,Shipped Early,California,Phones,5,6,0.2,91,6,907,939
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,2018-06-09,CA-2018-115812,90032,OFF-BI-10003910,DXL Angle-View Binders with Locking Rings by Samsill,West,9,Consumer,2018-06-14,Standard Class,Shipped Early,California,Binders,5,6,0.2,6,3,19,19
Office Supplies,Los Angeles,United States,BH-11710,Brosina Hoffman,2018-06-09,CA-2018-115812,90032,OFF-AP-10002892,Belkin F5C206VTEL 6 Outlet Surge,West,10,Consumer,2018-06-14,Standard Class,Shipped Early,California,Appliances,5,6,0,34,5,115,119
Furniture,Los Angeles,United States,BH-11710,Brosina Hoffman,2018-06-09,CA-2018-115812,90032,FUR-TA-10001539,Chromcraft Rectangular Conference Tables,West,11,Consumer,2018-06-14,Standard Class,Shipped Early,California,Tables,5,6,0.2,85,9,1706,1766
Technology,Los Angeles,United States,BH-11710,Brosina Hoffman,2018-06-09,CA-2018-115812,90032,TEC-PH-10002033,Konftel 250 Conference phone - Charcoal black,West,12,Consumer,2018-06-14,Standard Class,Shipped Early,California,Phones,5,6,0.2,68,4,911,943
Office Supplies,Concord,United States,AA-10480,Andrew Allen,2021-04-15,CA-2021-114412,28027,OFF-PA-10002365,Xerox 1967,South,13,Consumer,2021-04-20,Standard Class,Shipped Early,North Carolina,Paper,5,6,0.2,5,3,16,16
Office Supplies,Seattle,United States,IM-15070,Irene Maddox,2020-12-05,CA-2020-161389,98103,OFF-BI-10003656,Fellowes PB200 Plastic Comb Binding Machine,West,14,Consumer,2020-12-10,Standard Class,Shipped Early,Washington,Binders,5,6,0.2,133,3,408,422
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,2019-11-22,US-2019-118983,76106,OFF-AP-10002311,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",Central,15,Home Office,2019-11-26,Standard Class,Shipped Early,Texas,Appliances,4,6,0.8,-124,5,69,71
Office Supplies,Fort Worth,United States,HP-14815,Harold Pawlan,2019-11-22,US-2019-118983,76106,OFF-BI-10000756,Storex DuraTech Recycled Plastic Frosted Binders,Central,16,Home Office,2019-11-26,Standard Class,Shipped Early,Texas,Binders,4,6,0.8,-4,3,3,3
Office Supplies,Madison,United States,PK-19075,Pete Kriz,2018-11-11,CA-2018-105893,53711,OFF-ST-10004186,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",Central,17,Consumer,2018-11-18,Standard Class,Shipped Late,Wisconsin,Storage,7,6,0,13,6,666,689
Office Supplies,West Jordan,United States,AG-10270,Alejandro Grove,2018-05-13,CA-2018-167164,84084,OFF-ST-10000107,Fellowes Super Stor/Drawer,West,18,Consumer,2018-05-15,Second Class,Shipped Early,Utah,Storage,2,3,0,10,2,56,57
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,2018-08-27,CA-2018-143336,94109,OFF-AR-10003056,Newell 341,West,19,Consumer,2018-09-01,Second Class,Shipped Late,California,Art,5,3,0,2,2,9,9
Technology,San Francisco,United States,ZD-21925,Zuschuss Donatelli,2018-08-27,CA-2018-143336,94109,TEC-PH-10001949,Cisco SPA 501G IP Phone,West,20,Consumer,2018-09-01,Second Class,Shipped Late,California,Phones,5,3,0.2,16,3,213,221
Office Supplies,San Francisco,United States,ZD-21925,Zuschuss Donatelli,2018-08-27,CA-2018-143336,94109,OFF-BI-10002215,"Wilson Jones Hanging View Binder, White, 1""",West,21,Consumer,2018-09-01,Second Class,Shipped Late,California,Binders,5,3,0.2,7,4,23,24
Office Supplies,Fremont,United States,KB-16585,Ken Black,2020-12-09,CA-2020-137330,68025,OFF-AR-10000246,Newell 318,Central,22,Corporate,2020-12-13,Standard Class,Shipped Early,Nebraska,Art,4,6,0,5,7,19,20
Office Supplies,Fremont,United States,KB-16585,Ken Black,2020-12-09,CA-2020-137330,68025,OFF-AP-10001492,"Acco Six-Outlet Power Strip, 4' Cord Length",Central,23,Corporate,2020-12-13,Standard Class,Shipped Early,Nebraska,Appliances,4,6,0,16,7,60,62
Furniture,Philadelphia,United States,SF-20065,Sandra Flanagan,2021-07-16,US-2021-156909,19140,FUR-CH-10002774,"Global Deluxe Stacking Chair, Gray",East,24,Consumer,2021-07-18,Second Class,Shipped Early,Pennsylvania,Chairs,2,3,0.3,-1,2,71,74
Furniture,Orem,United States,EB-13870,Emily Burns,2019-09-25,CA-2019-106320,84057,FUR-TA-10000577,Bretford CR4500 Series Slim Rectangular Table,West,25,Consumer,2019-09-30,Standard Class,Shipped Early,Utah,Tables,5,6,0,240,3,1045,1081
Office Supplies,Los Angeles,United States,EH-13945,Eric Hoffmann,2020-01-16,CA-2020-121755,90049,OFF-BI-10001634,Wilson Jones Active Use Binders,West,26,Consumer,2020-01-20,Second Class,Shipped Late,California,Binders,4,3,0.2,4,2,12,12
Technology,Los Angeles,United States,EH-13945,Eric Hoffmann,2020-01-16,CA-2020-121755,90049,TEC-AC-10003027,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,West,27,Consumer,2020-01-20,Second Class,Shipped Late,California,Accessories,4,3,0,12,3,91,94
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,2019-09-17,US-2019-150630,19140,FUR-BO-10004834,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",East,28,Consumer,2019-09-21,Standard Class,Shipped Early,Pennsylvania,Bookcases,4,6,0.5,-1665,7,3083,3191
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,2019-09-17,US-2019-150630,19140,OFF-BI-10000474,Avery Recycled Flexi-View Covers for Binding Systems,East,29,Consumer,2019-09-21,Standard Class,Shipped Early,Pennsylvania,Binders,4,6,0.7,-7,2,10,10
Furniture,Philadelphia,United States,TB-21520,Tracy Blumstein,2019-09-17,US-2019-150630,19140,FUR-FU-10004848,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",East,30,Consumer,2019-09-21,Standard Class,Shipped Early,Pennsylvania,Furnishings,4,6,0.2,16,3,124,129
Office Supplies,Philadelphia,United States,TB-21520,Tracy Blumstein,2019-09-17,US-2019-150630,19140,OFF-EN-10001509,Poly String Tie Envelopes,East,31,Consumer,2019-09-21,Standard Class,Shipped Early,Pennsylvania,Envelopes,4,6,0.2,1,2,3,3
